 GL552VWR20ENG        FABMASTER (R)          licence #5053 NATSTEEL, 

 Test Fixture Nails    2107/2362 Selected Drills           29-Jun-2015 18:02
                       2107 Nails, 2371 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$272       7.160     5.659   3  2A   (T)  #722  M_A_DQ25         V VIA .
$273       7.111     5.633   3  2A   (T)  #723  M_A_DQ24         V VIA .
$274       7.075     5.669   3  2A   (T)  #719  M_A_DQ29         V VIA .
$275       7.037     5.633   3  2A   (T)  #720  M_A_DQ28         V VIA .
$276       6.991     5.655   3  2A   (T)  #725  M_A_DQ27         V VIA .
$277       7.086     5.830   1  2B   (T)  #689  M_A_ACT#         V VIA .
$278       7.161     5.730   3  2B   (T)  #726  M_A_DQ26         V VIA .
$279       7.215     5.731   3  2B   (T)  #721  M_A_DQ31         V VIA .
$280       7.296     5.923   3  2B   (T)  #700  M_A_CKE1         V VIA .
$281       7.242     5.923   3  2B   (T)  #699  M_A_CKE0         V VIA .
$282       7.333     6.000   1  2B   (T)  #684  M_A_A5           V VIA .
$283       7.335     6.184   2  2B   (T)  #678  M_A_WE#          V VIA .
$284       7.270     6.142   2  2B   (T)  #783  M_A_PARITY       V VIA .
$285       7.231     6.227   1  2B   (T)  #679  M_A_CAS#         V VIA .
$286       7.196     6.102   2  2B   (T)  #697  M_A_CLK_DDR#1    V VIA .
$287       7.113     6.225   3  2B   (T)  #786  M_A_CS#1         V VIA .
$288       7.060     6.227   3  2B   (T)  #677  M_A_A13          V VIA .
$289       7.076     5.947   3  2B   (T)  #673  M_A_A1           V VIA .
$290       7.018     5.952   3  2B   (T)  #682  M_A_A3           V VIA .
$291       7.010     6.025   2  2B   (T)  #896  M_B_A4           V VIA .
$292       6.907     6.118   3  2B   (T)  #885  M_B_A0           V VIA .
$293       6.932     6.043   3  2B   (T)  #910  M_B_CLK_DDR#1    V VIA .
$294       6.881     6.010   3  2B   (T)  #899  M_B_A7           V VIA .
$295       6.933     5.896   1  2B   (T)  #907  M_B_BG1          V VIA .
$296       6.486     5.036   2  2A   (T)  #1770 H_CATERR#        V PIN T0605.1
$297       6.413     5.032   2  2A   (T)  #1769 XDP_BPM3         V PIN T0602.1
$298       6.333     5.036   2  2A   (T)  #1768 XDP_BPM2         V PIN T0601.1
$299       6.258     5.037   2  2A   (T)  #158  P_SVID_ALERT#    V VIA .
$300       6.336     4.917   1  2A   (T)  #1534 XDP_PIN60        V VIA .
$301       6.575     4.706   1  2A   (T)  #1469 P_IMVP8_CSREF_3PH_B1_10 V VIA .
$302       6.757     5.016   2  2A   (T)  #629  +V_VREF_RC1      V VIA .
$303       6.835     4.983   2  2A   (T)  #1448 SB_DIMM_VREFDQ   V VIA .
$304       6.861     4.913   2  2A   (T)  #1535 +V_VREF_VD1      V VIA .
$305       6.683     4.508   1  2A   (T)  #345  P_IMVP8_GT_LX1_30 V VIA .
$306       6.579     3.877   2  2A   (T)  #171  PCH_PECI         V VIA .
$307       6.506     3.844   2  2A   (T)  #180  H_PM_SYNC        V VIA .
$308       6.334     3.852   1  2A   (T)  #278  N17892273        V VIA .
$309       6.485     3.735   1  2A   (T)  #1866 H_CPUPWRGD       V VIA .
$310       6.572     3.718   1  2A   (T)  #633  H_PM_DOWN        V VIA .
$311       6.764     3.597   1  2A   (T)  #39   AC_IN_OC#        V VIA .
$312       6.862     3.399   1  2A   (T)  #118  N43273769        V VIA .
$313       7.389     3.237   1  2A   (T)  #75   ME_AC_PRESENT    V VIA .
$314       7.343     2.910   1  2A   (T)  #60   PM_PWRBTN#       V VIA .
$315       7.237     3.006   1  2A   (T)  #146  +1.0V_VCCST      V VIA .
$316       7.037     3.005   1  2A   (T)  #225  +3VSUS           V VIA .
$317       6.902     3.029   1  2A   (T)  #543  P_LS_3VSUS_PG_10 V VIA .
$318       6.853     3.131   1  2A   (T)  #538  P_3VSUS_PWRGD    V VIA .
$319       6.733     3.070   1  2A   (T)  #544  P_LS_3VSUS_PG#_10 V VIA .
$320       6.716     3.226   2  2A   (T)  #822  3VSUS_PWRGD      V VIA .
$321       6.667     3.292   2  2A   (T)  #1333 SATA2_DEVSLP_C   V VIA .
$322       6.581     3.060   1  2A   (T)  #1124 +3V_SSD1         V VIA .
$323       6.376     2.995   1  2A   (T)  #1348 CLK6_PCIE_NGFF1# V VIA .
$324       6.264     2.975   3  2A   (T)  #1962 CLK0_PCIE_PEG_VGA V VIA .
$325       6.247     2.923   3  2A   (T)  #1963 CLK0_PCIE_PEG#_VGA V VIA .
$326       6.214     2.872   3  2A   (T)  #1349 CLK6_PCIE_NGFF1  V VIA .
$327       5.844     2.870   3  2A   (T)  #2358 CLK4_PCIE_GLAN#  V VIA .
$328       5.881     2.969   1  2A   (T)  #1921 +1.0VSUS_VCCPRIM123 V VIA .
$329       6.289     3.215   1  2A   (T)  #1855 PCIE9_RXN_NGFF1_L0 V VIA .
$330       5.875     3.242   2  2A   (T)  #1798 U3_U3TXDP7_CR    V PIN T2111.1
$331       5.884     3.104   2  2A   (T)  #1797 U3_U3TXDN7_CR    V PIN T2110.1
$332       5.836     3.156   2  2A   (T)  #1890 N43481503        V PIN T2227.1
$333       5.767     3.161   2  2A   (T)  #1889 N43481499        V PIN T2226.1
$334       5.794     3.227   2  2A   (T)  #1513 PCIE_RCOMPN      V VIA .
$335       5.783     3.295   2  2A   (T)  #1514 PCIE_RCOMPP      V VIA .
$336       5.712     3.348   2  2A   (T)  #1914 +1.0VSUS_VCCCLK1234 V VIA .
$337       5.772     3.409   2  2A   (T)  #1743 DMI_TXN0         V VIA .
$338       5.835     3.430   3  2A   (T)  #1748 DMI_TXP1         V VIA .
